"273","FAJARDA","2100 CORUCHE"
"275","VILA FRANCA DE XIRA","2600-997 VILA FRANCA DE XIRA"
"276","ALMEIRIM","2080 ALMEIRIM"
"277","GOLEGA","2150-196 GOLEGA"
"278","ALMEIRIM","2080 ALMEIRIM"
"279","CALDAS DA RAINHA","2500-111 CALDAS DA RAINHA"
"280","ALPIARCA","2090 ALPIARCA"
"281","BENFICA DO RIBATEIJO","2080 ALMEIRIM"
"282","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"283","ALPIARCA","2090 ALPIARCA"
"284","ALMEIRIM","2080 ALMEIRIM"
"285","FRADE DE BAIXO","2090 ALPIARCA"
"286","TAPADA","2080 ALMEIRIM"
"287","FIGUEIRA CASTELO RODRIGO","6440-072 FIGUEIRA CASTELO RODRIGO"
"288","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"289","FOROS DE BENFICA","2080 BENFICA DO RIBATEJO"
"290","ABRANTES","2200 ABRANTES"
"291","ALCANEDE","2025 ALCANEDE"
"292","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"293","ALMEIRIM","2080 ALMEIRIM"
"294","RIO MAIOR","2040 RIO MAIOR"
"295","ALMEIRIM","2080 ALMEIRIM"
"296","ALMEIRIM","2080 ALMEIRIM"
"297","ALMEIRIM","2080 ALMEIRIM"
"298","ALMEIRIM","2080 ALMEIRIM"
"299","RAPOSA","2080 ALMEIRIM"
"300","VILA DE REI","6110 VILA DE REI"
"301","ALMEIRIM","2080 ALMEIRIM"
"302","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"303","SALVATERRA MAGOS","2120 SALVATERRA DE MAGOS"
"304","POMBALINHO","2150 GOLEGA"
"305","CORTICOIS","2080 BENFICA DO RIBATEJO"
"306","ALENQUER","2580 ALENQUER"
"307","ALENQUER","2580 ALENQUER"
"308","PACO DOS NEGROS","2080 ALMEIRIM"
"309","SANTAREM","2005-121"
"310","VALE DE SANTAREM","2000 SANTAREM"
"311","ACHETE","2000 SANTAREM"
"312","ALPIARCA","2090 ALPIARCA"
"313","CARAPINHA","2580 ALENQUER"
"314","ALPIARCA","2090 ALPIARCA"
"315","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"316","ALMEIRIM","2080 ALMEIRIM"
"317","SANTAREM","2002 SANTAREM"
"318","ALCANHOES","2000 SANTAREM"
"319","ALPIARCA","2090 ALPIARCA"
"320","ALPIARCA","2090-089 ALPIARCA"
"321","ALMEIRIM","2080 ALMEIRIM"
"322","RIO MAIOR","2040 RIO MAIOR"
"323","FRADE DE BAIXO","2090 ALPIARCA"
"324","ALGES","1495-137 ALGES"
"325","VALE DE SANTAREM","2000 SANTAREM"
"326","CORTICOIS","2080 ALMEIRIM"
"327","FONTAINHAS","2000 SANTAREM"
"328","SANTAREM","2000 SANTAREM"
"329","RAPOSA","2080 ALMEIRIM"
"330","CORUCHE","2101-901 CORUCHE"
"331","CASALINHO","2090 ALPIARCA"
"332","RIBEIRA DE SANTAREM  APARTADO 460","2001-906 SANTAREM"
"333","LISBOA","1200-868 LISBOA"
"334","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"336","ALPIARCA","2090 ALPIARCA"
"337","ALCANHOES","2000 ALCANHOES"
"338","FAZENDAS DE ALMEIRIM","2080 FAZENDAS DE ALMEIRIM"
"339","VALADO DOS FRADES","2450 NAZARE"
"340","VILGATEIRA","2000 SANTAREM"
"341","FOROS DE SALVATERRA","2120 SALVATERRA DE MAGOS"
"342","-","2090 ALPIARCA"
"343","VALE DE SANTAREM","2000 SANTAREM"
"344","BENFICA DO RIBATEJO","2080 BENFICA DO RIBATEJO"
"345","ALMEIRIM","2080 ALMEIRIM"
