"66713","MASAI  1 KG",NULL,"UN"
"66744","ZINTRAC YARA VITA  5 LT",NULL,"UN"
"66745","YARA VITA NUTREL C  5 Kg",NULL,"UN"
"66746","YARA VITA OLIVAR  5 Kg",NULL,"UN"
"66904","MEGAFOL  25 LT",NULL,"UN"
"66912","ASFRUIT 5 L",NULL,"UN"
"66925","VIVA  25 LT",NULL,"UN"
"91701","BULLDOCK  5 LT",NULL,"UN"
"91703","PYRINEX 5 G  5 KG",NULL,"UN"
"91704","MIRADOR  1 LT",NULL,"UN"
"91705","MIRADOR  5 LT",NULL,"UN"
"91706","VINOSTAR  5 KG",NULL,"UN"
"91707","SPHINX MZ  5 KG",NULL,"UN"
"91708","ARIANNE  1 LT","1","LT"
"91710","PALADIUM  1 L","1","L"
"101691","AD. ORG. GUANO SANSAO  40 KG","40","KG"
"109005","HIPOCLORITO JARRICAN  20 LT",NULL,"UN"
"120009","ORYZA FL  20 LT",NULL,"UN"
"120014","AFALON  1 KG",NULL,"UN"
"120045","BORAMIN CA PLUS  20 LT",NULL,"UN"
"120064","TRADECORP AZ  CX 20 KG",NULL,"UN"
"120073","FITANOL  1 LT",NULL,"UN"
"120331","ACTIVUS 33EC  100 ML",NULL,"UN"
"120332","ACTIVUS 33EC  20 LT",NULL,"UN"
"120340","TOMAHAWK  5 LT",NULL,"UN"
"120350","CICLONE 48 EC  20 LT",NULL,"UN"
"120411","HUMISTAR  1000 LT  (COR.ORGANICO)",NULL,"UN"
"120430","STIMULUS 20 L",NULL,"UN"
"120460","FITOALGAS GREEN  20 LT",NULL,"UN"
"120461","FITOALGAS GREEN  5 LT",NULL,"UN"
"120541","FOLIVEX CRESCIMENTO  20 LT",NULL,"UN"
"120542","FOLIVEX CRESCIMENTO 1000 LT",NULL,"UN"
"120631","HIDROCALCIO  1000 LT",NULL,"UN"
"120661","TRAFOS SINERGY  20LT",NULL,"UN"
"121007","FORUM C  25 KG",NULL,"UN"
"121012","CALDA BORDALESA SAPEC  500 GR",NULL,"UN"
"121013","CALDA BORDALESA SAPEC  5 KG",NULL,"UN"
"121014","CALDA BORDALESA SAPEC  25 KG",NULL,"UN"
"121030","ETYLIT PREMIER  1 KG",NULL,"UN"
"121031","ETYLIT PREMIER  5 KG",NULL,"UN"
"121035","EKYP MZ  15 KG",NULL,"UN"
"121047","BANZE VOADORES  400 ML",NULL,"UN"
"121130","ASTECA MAYS  20 LT",NULL,"UN"
"121431","BOREAL  5 L",NULL,"UN"
"121432","BOREAL  20 L","20","L"
"121490","OSMOCALM  5 LT","5","LT"
"121492","OSMOCALM  20 LT","20","LT"
"121795","SPRINT PLUS  1 LT","1","LT"
"121796","SPRINT PLUS  20 LT","20","LT"
"122047","BANZE CASA E PLANTAS  400 ML","400","ML"
"122101","LANNATE L  5 LT","5","LT"
"122102","TRADECORP Zn (5X1KG)  5 KG","1","KG"
"122103","TRADECORP Zn  20 KG","20","KG"
"122111","VYDATE 10 L  5 LT","10","L "
"122112","VYDATE 10 L  10 LT","10","L "
"122113","VYDATE 10 G  10 KG","10","KG"
"122213","VITIPEC C WG ADVANCE  300 GR","300","GR"
"122215","VITIPEC C WG ADVANCE  15 KG","15","KG"
"122312","DASH HC  1 LT","1","LT"
"122592","PODRINA  750 GR","750","GR"
"122593","JACKPOT  250 GR","250","GR"
