"1043C15-130","Encomendas","02/03/2015","1","UN","07503"
"1043E15","Encomendas","17/03/2015","2","UN","01815"
"1043E15-132","Encomendas","17/03/2015","3","UN","01815"
"1043E15-133","Encomendas","17/03/2015","12","UN","01815"
"1043Q15","Car_Des","31/03/2015",NULL,NULL,"00266"
"1044E15","Car_Des","17/03/2015",NULL,NULL,"02582"
"1044Q15","Car_Des","31/03/2015",NULL,NULL,"07509"
"1045C15","Encomendas","02/03/2015","72","UN","05088"
"1045C15-138","Encomendas","02/03/2015","72","UN","05088"
"1045Q15","Car_Des","31/03/2015",NULL,NULL,"07509"
"1046C15","Encomendas","02/03/2015","10","UN","05877"
"1047C15","Encomendas","02/03/2015","32","UN","02247"
"1047E15","Encomendas","17/03/2015","1","UN","06315"
"1047E15-143","Encomendas","17/03/2015","1","UN","06315"
"1047Q15","Car_Des","31/03/2015",NULL,NULL,"00266"
"1048Q15","Car_Des","31/03/2015",NULL,NULL,"00266"
"1049E15","Encomendas","18/03/2015","5","UN","03762"
"1049Q15","Car_Des","31/03/2015",NULL,NULL,"00266"
"104C15","Car_Des","08/01/2015",NULL,NULL,"01086"
"104C15-149","Car_Des","11/06/2015",NULL,NULL,"06576"
"104E15","Car_Des","15/06/2015",NULL,NULL,"07698"
"104Q15","Car_Des","13/01/2015",NULL,NULL,"00238"
"1050Q15","Car_Des","31/03/2015",NULL,NULL,"04176"
"1051Q15","Car_Des","31/03/2015",NULL,NULL,"05694"
"1052Q15","Car_Des","01/04/2015",NULL,NULL,"08984"
"1053Q15","Car_Des","01/04/2015",NULL,NULL,"05253"
"1054E15","Encomendas","18/03/2015","1","UN","02153"
"1054E15-157","Encomendas","18/03/2015","3","UN","02153"
"1054Q15","Car_Des","01/04/2015",NULL,NULL,"05180"
"1056Q15","Car_Des","01/04/2015",NULL,NULL,"03830"
"1057E15","Car_Des","18/03/2015",NULL,NULL,"02350"
"1057Q15","Car_Des","01/04/2015",NULL,NULL,"08723"
"1058C15","Car_Des","02/03/2015",NULL,NULL,"05862"
"1058E15","Car_Des","18/03/2015",NULL,NULL,"02244"
"1059C15","Encomendas","02/03/2015","110","UN","06685"
"1059Q15","Car_Des","01/04/2015",NULL,NULL,"00266"
"105C15","Car_Des","08/01/2015",NULL,NULL,"06475"
"105C15-167","Car_Des","12/06/2015",NULL,NULL,"06649"
"105E15","Car_Des","15/06/2015",NULL,NULL,"06884"
"105Q15","Car_Des","13/01/2015",NULL,NULL,"01800"
"1060C15","Encomendas","02/03/2015","42","UN","07545"
"1060C15-171","Encomendas","02/03/2015","42","UN","07545"
"1061C15","Encomendas","02/03/2015","10","UN","02848"
"1061E15","Encomendas","18/03/2015","2","UN","07149"
"1061E15-174","Encomendas","18/03/2015","3","UN","07149"
"1061E15-175","Encomendas","18/03/2015","1","UN","07149"
"1061E15-176","Encomendas","18/03/2015","1","UN","07149"
"1061E15-177","Encomendas","18/03/2015","1","UN","07149"
"1061E15-178","Encomendas","18/03/2015","3","UN","07149"
"1062C15","Encomendas","02/03/2015","4","UN","06266"
"1064E15","Encomendas","18/03/2015","10","UN","08157"
"1064E15-181","Encomendas","18/03/2015","35","UN","08157"
"1064E15-182","Encomendas","18/03/2015","12","UN","08157"
"1064Q15","Car_Des","01/04/2015",NULL,NULL,"08344"
"1065C15","Car_Des","02/03/2015",NULL,NULL,"07581"
"1065Q15","Car_Des","01/04/2015",NULL,NULL,"06411"
"1066E15","Encomendas","18/03/2015","2","UN","08157"
"1066Q15","Car_Des","01/04/2015",NULL,NULL,"07603"
"1067Q15","Car_Des","01/04/2015",NULL,NULL,"00266"
"1068C15","Encomendas","02/03/2015","72","UN","08140"
"1068E15","Car_Des","18/03/2015",NULL,NULL,"06560"
"1068Q15","Car_Des","01/04/2015",NULL,NULL,"08408"
"1069C15","Encomendas","02/03/2015","25","UN","02240"
"1069E15","Car_Des","18/03/2015",NULL,NULL,"05966"
"1069Q15","Car_Des","01/04/2015",NULL,NULL,"00266"
"106C15","Encomendas","08/01/2015","25","UN","04654"
"106C15-196","Car_Des","09/04/2015",NULL,NULL,"04800"
"106C15-197","Car_Des","12/06/2015",NULL,NULL,"06937"
"106E15","Car_Des","15/06/2015",NULL,NULL,"08247"
"1070C15","Encomendas","02/03/2015","25","UN","02241"
"1070Q15","Car_Des","01/04/2015",NULL,NULL,"03742"
"1071C15","Encomendas","02/03/2015","50","UN","07519"
"1071Q15","Car_Des","01/04/2015",NULL,NULL,"08454"
"1072C15","Encomendas","02/03/2015","72","UN","02029"
"1072C15-204","Encomendas","02/03/2015","25","UN","02029"
"1072C15-205","Encomendas","02/03/2015","6","UN","02029"
"1072E15","Car_Des","18/03/2015",NULL,NULL,"02946"
"1073C15","Car_Des","02/03/2015",NULL,NULL,"02516"
"1073E15","Car_Des","18/03/2015",NULL,NULL,"06103"
"1074C15","Encomendas","02/03/2015","6","UN","03356"
"1074C15-210","Encomendas","02/03/2015","12","UN","03356"
"1074C15-211","Encomendas","02/03/2015","12","UN","03356"
"1075Q15","Car_Des","01/04/2015",NULL,NULL,"08094"
"1076C15","Encomendas","02/03/2015","40","UN","06607"
"1076E15","Encomendas","18/03/2015","2","UN","06576"
"1076E15-215","Encomendas","18/03/2015","3","UN","06576"
"1076E15-216","Encomendas","18/03/2015","4","UN","06576"
"1077C15","Encomendas","02/03/2015","36","UN","06773"
"1077C15-218","Encomendas","02/03/2015","30","UN","06773"
"1077E15","Encomendas","18/03/2015","3","UN","08667"
"1077E15-220","Encomendas","18/03/2015","1","UN","08667"
"1077Q15","Car_Des","01/04/2015",NULL,NULL,"08311"
"1078C15","Encomendas","02/03/2015","12","UN","06026"
"1078C15-223","Encomendas","02/03/2015","80.7","KG","06026"
"1078C15-224","Encomendas","02/03/2015","1","UN","06026"
"1078E15","Encomendas","18/03/2015","40","UN","06553"
"1078E15-226","Encomendas","18/03/2015","2","UN","06553"
"1078E15-227","Encomendas","18/03/2015","16","UN","06553"
"1078Q15","Car_Des","01/04/2015",NULL,NULL,"06964"
"1079E15","Encomendas","18/03/2015","160","UN","00019"
"1079E15-230","Encomendas","18/03/2015","40","UN","00019"
"1079Q15","Car_Des","01/04/2015",NULL,NULL,"08140"
"107C15","Encomendas","08/01/2015","25","UN","00438"
"107C15-233","Car_Des","12/06/2015",NULL,NULL,"04712"
"107E15","Car_Des","13/01/2015",NULL,NULL,"07502"
"107E15-235","Car_Des","15/06/2015",NULL,NULL,"08121"
"1080E15","Car_Des","18/03/2015",NULL,NULL,"02844"
"1080Q15","Car_Des","01/04/2015",NULL,NULL,"05180"
"1081E15","Car_Des","18/03/2015",NULL,NULL,"06846"
"1082C15","Car_Des","02/03/2015",NULL,NULL,"02793"
"1082E15","Car_Des","18/03/2015",NULL,NULL,"06134"
"1084Q15","Car_Des","02/04/2015",NULL,NULL,"07234"
"1085E15","Car_Des","18/03/2015",NULL,NULL,"02582"
"1085Q15","Car_Des","02/04/2015",NULL,NULL,"07234"
"1086C15","Encomendas","02/03/2015","42","UN","08226"
"1086E15","Car_Des","18/03/2015",NULL,NULL,"06269"
"1086Q15","Car_Des","02/04/2015",NULL,NULL,"00266"
"1087E15","Encomendas","18/03/2015","1","UN","06411"
"1087E15-248","Encomendas","18/03/2015","1","UN","06411"
"1087E15-249","Encomendas","18/03/2015","1","UN","06411"
"1087E15-250","Encomendas","18/03/2015","12","UN","06411"
"1087E15-251","Encomendas","18/03/2015","5","UN","06411"
"1087E15-252","Encomendas","18/03/2015","2","UN","06411"
"1089E15","Encomendas","18/03/2015","11","UN","03546"
"1089E15-254","Encomendas","18/03/2015","2","UN","03546"
"1089E15-255","Encomendas","18/03/2015","1","UN","03546"
"1089E15-256","Encomendas","18/03/2015","3","UN","03546"
"108C15","Encomendas","09/01/2015","72","UN","00392"
"108C15-258","Car_Des","12/06/2015",NULL,NULL,"00238"
"108E15","Car_Des","15/06/2015",NULL,NULL,"06885"
"108Q15","Car_Des","13/01/2015",NULL,NULL,"00816"
"1090C15","Encomendas","03/03/2015","6","UN","07609"
"1090E15","Encomendas","18/03/2015","3","UN","06629"
"1090E15-263","Encomendas","18/03/2015","20","UN","06629"
"1090E15-264","Encomendas","18/03/2015","5","UN","06629"
"1090Q15","Car_Des","02/04/2015",NULL,NULL,"06439"
"1091E15","Encomendas","18/03/2015","4","UN","05330"
"1091E15-267","Encomendas","18/03/2015","3","UN","05330"
"1091E15-268","Encomendas","18/03/2015","2","UN","05330"
"1091E15-269","Encomendas","18/03/2015","3","UN","05330"
"1091E15-270","Encomendas","18/03/2015","4","UN","05330"
"1091Q15","Car_Des","02/04/2015",NULL,NULL,"00243"
"1092E15","Encomendas","18/03/2015","1","UN","03546"
"1093Q15","Car_Des","02/04/2015",NULL,NULL,"05574"
"1094C15","Encomendas","03/03/2015","36","UN","06553"
"1094C15-275","Encomendas","03/03/2015","72","UN","06553"
"1094C15-276","Encomendas","03/03/2015","72","UN","06553"
"1094C15-277","Encomendas","03/03/2015","72","UN","06553"
"1094C15-278","Encomendas","03/03/2015","144","UN","06553"
"1095Q15","Car_Des","02/04/2015",NULL,NULL,"06280"
"1096E15","Encomendas","19/03/2015","1","UN","02800"
"1096E15-281","Encomendas","19/03/2015","4","UN","02800"
"1096E15-282","Encomendas","19/03/2015","1","UN","02800"
"1096Q15","Car_Des","02/04/2015",NULL,NULL,"06553"
"1097E15","Encomendas","19/03/2015","11","UN","03851"
"1097E15-285","Encomendas","19/03/2015","16","UN","03851"
"1097E15-286","Encomendas","19/03/2015","----","UN","03851"
"1098Q15","Car_Des","02/04/2015",NULL,NULL,"00019"
"1099Q15","Car_Des","02/04/2015",NULL,NULL,"02386"
"109C15","Encomendas","09/01/2015","32","UN","06576"
"109C15-290","Car_Des","12/06/2015",NULL,NULL,"00247"
"109E15","Encomendas","13/01/2015","1","UN","04699"
"109E15-292","Encomendas","13/01/2015","1","UN","04699"
"109E15-293","Encomendas","13/01/2015","2","UN","04699"
"109E15-294","Car_Des","15/06/2015",NULL,NULL,"06091"
"109Q15","Car_Des","13/01/2015",NULL,NULL,"08223"
"10C15","Car_Des","18/02/2015",NULL,NULL,"07698"
"10E15","Car_Des","26/02/2015",NULL,NULL,"04841"
"1100E15","Encomendas","19/03/2015","3","UN","04746"
"1100Q15","Car_Des","02/04/2015",NULL,NULL,"00019"
"1101Q15","Car_Des","02/04/2015",NULL,NULL,"05659"
"1102C15","Encomendas","03/03/2015","500","UN","01384"
"1102C15-302","Encomendas","03/03/2015","512","UN","01384"
"1102E15","Encomendas","19/03/2015","50","UN","00836"
"1102Q15","Car_Des","02/04/2015",NULL,NULL,"02707"
"1103C15","Encomendas","03/03/2015","5","UN","00760"
"1103E15","Encomendas","19/03/2015","2","UN","06903"
"1103Q15","Car_Des","02/04/2015",NULL,NULL,"07579"
"1104C15","Encomendas","03/03/2015","6","UN","08723"
"1104Q15","Car_Des","02/04/2015",NULL,NULL,"05659"
"1105E15","Encomendas","19/03/2015","1","UN","05200"
"1105Q15","Car_Des","02/04/2015",NULL,NULL,"07026"
"1106C15","Encomendas","03/03/2015","144","UN","06244"
"1106C15-313","Encomendas","03/03/2015","2","UN","06244"
"1106E15","Car_Des","19/03/2015",NULL,NULL,"05654"
"1107C15","Encomendas","03/03/2015","30","UN","08454"
"1107E15","Car_Des","19/03/2015",NULL,NULL,"03100"
"1108C15","Encomendas","03/03/2015","16","UN","05847"
"1108E15","Car_Des","19/03/2015",NULL,NULL,"07442"
"1108Q15","Car_Des","02/04/2015",NULL,NULL,"05180"
"1109E15","Car_Des","19/03/2015",NULL,NULL,"02865"
"1109Q15","Car_Des","02/04/2015",NULL,NULL,"06518"
"110C15","Car_Des","12/06/2015",NULL,NULL,"04362"
"110E15","Car_Des","15/06/2015",NULL,NULL,"04841"
"110Q15","Car_Des","13/01/2015",NULL,NULL,"06868"
"1110Q15","Car_Des","02/04/2015",NULL,NULL,"04444"
"1111C15","Encomendas","03/03/2015","42","UN","08226"
"1111C15-327","Encomendas","03/03/2015","42","UN","08226"
"1111Q15","Car_Des","02/04/2015",NULL,NULL,"03851"
"1113E15","Encomendas","19/03/2015","2","UN","07066"
"1113E15-330","Encomendas","19/03/2015","8","UN","07066"
"1113E15-331","Encomendas","19/03/2015","6","UN","07066"
"1113Q15","Car_Des","02/04/2015",NULL,NULL,"01265"
"1114C15","Car_Des","03/03/2015",NULL,NULL,"07066"
"1115C15","Car_Des","03/03/2015",NULL,NULL,"59998"
"1116C15","Car_Des","03/03/2015",NULL,NULL,"00092"
"1116E15","Encomendas","19/03/2015","2","UN","04444"
"1116Q15","Car_Des","02/04/2015",NULL,NULL,"01669"
"1117C15","Encomendas","03/03/2015","10","UN","04693"
"1117C15-339","Encomendas","03/03/2015","20","UN","04693"
"1117C15-340","Encomendas","03/03/2015","100","UN","04693"
"1117C15-341","Encomendas","03/03/2015","20","UN","04693"
"1117C15-342","Encomendas","03/03/2015","10","UN","04693"
"1118C15","Car_Des","03/03/2015",NULL,NULL,"00092"
"1118Q15","Car_Des","02/04/2015",NULL,NULL,"08454"
"1119E15","Encomendas","19/03/2015","50","UN","07689"
"1119E15-346","Encomendas","19/03/2015","20","UN","07689"
"1119E15-347","Encomendas","19/03/2015","36","UN","07689"
"1119E15-348","Encomendas","19/03/2015","24","UN","07689"
"1119E15-349","Encomendas","19/03/2015","12","UN","07689"
"1119E15-350","Encomendas","19/03/2015","20","UN","07689"
"1119E15-351","Encomendas","19/03/2015","4","UN","07689"
"111C15","Car_Des","12/06/2015",NULL,NULL,"06278"
"111E15","Encomendas","13/01/2015","2","UN","01601"
"111E15-354","Encomendas","13/01/2015","5","UN","01601"
"111E15-355","Car_Des","15/06/2015",NULL,NULL,"06073"
"111Q15","Car_Des","13/01/2015",NULL,NULL,"07737"
"1121Q15","Car_Des","02/04/2015",NULL,NULL,"00266"
"1122C15","Encomendas","03/03/2015","216","UN","02023"
"1122C15-359","Encomendas","03/03/2015","72","UN","02023"
"1122Q15","Car_Des","04/04/2015",NULL,NULL,"00266"
"1123C15","Encomendas","03/03/2015","6","UN","06341"
"1123Q15","Car_Des","04/04/2015",NULL,NULL,"02848"
"1124E15","Car_Des","20/03/2015",NULL,NULL,"00565"
"1124Q15","Car_Des","04/04/2015",NULL,NULL,"02562"
"1125E15","Encomendas","20/03/2015","25","UN","07833"
"1126E15","Car_Des","20/03/2015",NULL,NULL,"05287"
"1126Q15","Car_Des","04/04/2015",NULL,NULL,"08166"
"1127C15","Encomendas","03/03/2015","72","UN","05966"
"1127C15-369","Encomendas","03/03/2015","36","UN","05966"
"1127C15-370","Encomendas","03/03/2015","4","UN","05966"
"1127C15-371","Encomendas","03/03/2015","53","UN","05966"
"1127E15","Car_Des","20/03/2015",NULL,NULL,"02838"
"1127Q15","Car_Des","04/04/2015",NULL,NULL,"05484"
"1128C15","Car_Des","03/03/2015",NULL,NULL,"06134"
"1128E15","Car_Des","20/03/2015",NULL,NULL,"04537"
"1128Q15","Car_Des","04/04/2015",NULL,NULL,"02747"
"1129Q15","Car_Des","04/04/2015",NULL,NULL,"06161"
"112C15","Car_Des","12/06/2015",NULL,NULL,"08449"
"112E15","Encomendas","13/01/2015","1","UN","01650"
"112E15-380","Encomendas","13/01/2015","5","UN","01650"
"112E15-381","Car_Des","15/06/2015",NULL,NULL,"02611"
"112E15-382","Car_Des","13/01/2015",NULL,NULL,"01650"
"1130E15","Encomendas","20/03/2015","56","UN","00266"
"1130E15-384","Encomendas","20/03/2015","60","UN","00266"
"1131E15","Encomendas","20/03/2015","4","UN","00266"
"1131E15-386","Encomendas","20/03/2015","5","UN","00266"
"1132C15","Encomendas","04/03/2015","15","UN","02707"
"1132C15-388","Encomendas","04/03/2015","20","UN","02707"
"1132C15-389","Encomendas","04/03/2015","20","UN","02707"
"1132E15","Encomendas","20/03/2015","1","UN","08984"
"1132Q15","Car_Des","04/04/2015",NULL,NULL,"07545"
"1133C15","Encomendas","04/03/2015","4","UN","06586"
"1133C15-393","Encomendas","04/03/2015","5","UN","06586"
"1133Q15","Car_Des","04/04/2015",NULL,NULL,"00266"
"1134Q15","Car_Des","04/04/2015",NULL,NULL,"06628"
"1135E15","Car_Des","20/03/2015",NULL,NULL,"02597"
"1136E15","Car_Des","20/03/2015",NULL,NULL,"02632"
"1136Q15","Car_Des","04/04/2015",NULL,NULL,"02562"
"1137C15","Encomendas","04/03/2015","24","UN","06967"
"1138C15","Encomendas","04/03/2015","245","UN","00847"
"1138C15-401","Encomendas","04/03/2015","99","UN","00847"
"1138C15-402","Encomendas","04/03/2015","114","UN","00847"
"1138E15","Car_Des","20/03/2015",NULL,NULL,"02844"
"1138Q15","Car_Des","04/04/2015",NULL,NULL,"02344"
"1139E15","Encomendas","20/03/2015","8","UN","07483"
